city,region
Berekböszörmény,ÉA
Cigánd,ÉM
Dunakeszi,KM
Dunaújváros,KD
Felsőtárkány,ÉM
Gödöllő,KM
Hajdúnánás,ÉA
Hódmezővásárhely,DA
Jászberény,ÉA
Kunhegyes,ÉA
Kurityán,ÉM
Mezőkövesd,ÉM
Mezőtúr,ÉA
Monor,KM
Mosonmagyaróvár,NYD
Noszvaj,ÉM
Salgótarján,ÉM
Sarkad,DA
Szerencs,ÉM
Taktaharkány,ÉM
Tiszaújváros,ÉM
Verpelét,ÉM
Zalaegerszeg,NYD
Baja,DA
Békéscsaba,DA
Csongrád,DA
Kecskemét,DA
Szeged,DA
Balatonboglár,DD
Bonyhád,DD
Fonyód,DD
Kaposvár,DD
Pécs,DD
Nagyvárad,HT
Szabadka,HT
Zenta,HT
Esztergom,KD
Komárom,KD
Pusztaszabolcs,KD
Pápa,KD
Székesfehérvár,KD
Tapolca,KD
Tata,KD
Tatabánya,KD
Veszprém,KD
Budapest,KM
Cegléd,KM
Százhalombatta,KM
Érd,KM
Győr,NYD
Keszthely,NYD
Kőszeg,NYD
Szombathely,NYD
Debrecen,ÉA
Hajdúböszörmény,ÉA
Karcag,ÉA
Kisvárda,ÉA
Mátészalka,ÉA
Nyíregyháza,ÉA
Szolnok,ÉA
Balassagyarmat,ÉM
Eger,ÉM
Hatvan,ÉM
Miskolc,ÉM
Sárospatak,ÉM
Nagykanizsa,NYD
